,state_abb,state_division
1,AL,East South Central
2,AK,Pacific
3,AZ,Mountain
4,AR,West South Central
5,CA,Pacific
6,CO,Mountain
7,CT,New England
8,DE,South Atlantic
9,FL,South Atlantic
10,GA,South Atlantic
11,HI,Pacific
12,ID,Mountain
13,IL,East North Central
14,IN,East North Central
15,IA,West North Central
16,KS,West North Central
17,KY,East South Central
18,LA,West South Central
19,ME,New England
20,MD,South Atlantic
21,MA,New England
22,MI,East North Central
23,MN,West North Central
24,MS,East South Central
25,MO,West North Central
26,MT,Mountain
27,NE,West North Central
28,NV,Mountain
29,NH,New England
30,NJ,Middle Atlantic
31,NM,Mountain
32,NY,Middle Atlantic
33,NC,South Atlantic
34,ND,West North Central
35,OH,East North Central
36,OK,West South Central
37,OR,Pacific
38,PA,Middle Atlantic
39,RI,New England
40,SC,South Atlantic
41,SD,West North Central
42,TN,East South Central
43,TX,West South Central
44,UT,Mountain
45,VT,New England
46,VA,South Atlantic
47,WA,Pacific
48,WV,South Atlantic
49,WI,East North Central
50,WY,Mountain
